ORISPL,NAMEPCAP,GENNTAN,weighted_coal_CAPFAC,weighted_coal_AGE,coal_FUELS,num_coal_GENS,YEAR,NONcoal_FUELS,PNAME,PLGENACL,PLSO2AN,PLPRMFL,PLCLPR,SECTOR,FIPSST,FIPSCNTY,LAT,LON
1047.0,338.5,1275945.0,0.5182717036392634,36.451994091580445,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,Lansing,1273200.012,4941.6864,SUB,99.7835,not reported,19,5.0,43.3359,-91.1672
1048.0,218.4,652507.0,0.3411,42.0,['SUB'],1,2009,['NG'],Milton L Kapp,751467.62,3014.656,SUB,99.905,not reported,19,45.0,41.8081,-90.2345
1058.0,84.7,-13144.0,-0.1,69.09445100354196,"['BIT', 'SUB', 'SUB', 'BIT', 'SUB', 'SUB']",6,2009,0,Sixth Street,0.0,0.0,NG,0.0,not reported,19,113.0,41.9839,-91.6686
1073.0,244.7,44354.0,0.14835382152680704,42.52308949734379,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,Prairie Creek,40626.553,522.1705,SUB,89.5481,not reported,19,113.0,41.9378,-91.6383
1077.0,156.6,463438.0,0.3629151316896758,50.87356321839093,"['SUB', 'SUB', 'SUB']",3,2009,0,Sutherland,407773.978,3079.547,SUB,87.9889,not reported,19,127.0,42.0472,-92.8627
1081.0,141.0,603708.0,0.49019573187700016,48.425531914893554,"['SUB', 'SUB']",2,2009,0,Riverside,576908.398,1734.0946,SUB,95.5608,not reported,19,163.0,41.5404,-90.4483
1082.0,1778.9,11238242.0,0.7230898433936553,17.539715554556096,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,Walter Scott Jr Energy Center,11206710.203,13196.834,SUB,99.7194,not reported,19,155.0,41.18,-95.8408
1091.0,1046.0,6333679.0,0.6975495700839907,36.54741873804983,"['SUB', 'SUB', 'SUB']",3,2009,0,George Neal North,6300537.18,21795.653,SUB,99.4767,not reported,19,193.0,42.2996,-96.3634
1104.0,212.0,1204606.0,0.6486,41.0,['SUB'],1,2009,0,Burlington,1202880.603,4597.3874,SUB,99.841,not reported,19,57.0,40.7412,-91.1168
1122.0,108.8,353773.0,0.371249296582837,31.825367647058783,"['SUB', 'SUB']",2,2009,0,Ames Electric Services Power Plant,324114.395,842.602,SUB,91.6165,not reported,19,169.0,42.0247,-93.6069
1131.0,51.5,18786.0,0.051424922814862134,39.20388349514565,"['BIT', 'BIT']",2,2009,0,Streeter Station,17674.077,252.9364,BIT,94.0811,not reported,19,13.0,42.5267,-92.4394
1167.0,293.5,1021926.0,0.5098641936891712,30.66439522998303,"['SUB', 'SUB', 'SUB', 'SUB']",4,2009,0,Muscatine Plant #1,1018383.454,1355.8449,SUB,99.6533,not reported,19,139.0,41.3917,-91.0569
1175.0,38.0,60447.0,0.22029417671679324,39.42105263157896,"['SUB', 'SUB']",2,2009,0,Pella,55772.6,269.545,SUB,92.2669,not reported,19,125.0,41.3981,-92.9144
1217.0,33.0,3173.0,0.011,49.0,['BIT'],1,2009,['NG'],Earl F Wisdom,3454.158,63.28,BIT,73.9965,not reported,19,41.0,43.1606,-95.2569
1218.0,62.5,212776.0,0.3886614453697786,44.799999999999955,"['BIT', 'BIT']",2,2009,0,Fair Station,212125.381,5350.782,BIT,99.6942,not reported,19,139.0,41.4569,-90.8233
1239.0,87.5,458177.0,0.6294647289148081,56.71428571428578,"['SUB', 'SUB']",2,2009,0,Riverton,352567.342,4905.311,SUB,59.4514,not reported,20,21.0,37.0719,-94.6986
1241.0,1578.0,9244848.0,0.6724322292156669,34.26362484157153,"['SUB', 'SUB']",2,2009,0,La Cygne,9225198.679,21328.95,SUB,99.7875,not reported,20,107.0,38.3472,-94.6389
1250.0,566.0,3318128.0,0.6723012667986286,41.60070671378094,"['SUB', 'SUB', 'SUB']",3,2009,0,Lawrence Energy Center,3314171.225,2771.558,SUB,99.8808,not reported,20,45.0,39.0072,-95.2692
1252.0,232.0,1397538.0,0.6878775095203136,48.767241379310235,"['SUB', 'SUB']",2,2009,0,Tecumseh Energy Center,1391839.141,5026.7557,SUB,99.5903,not reported,20,177.0,39.0522,-95.5669
1295.0,239.1,1103774.0,0.5528381193070321,40.04767879548308,"['SUB', 'SUB']",2,2009,0,Quindaro,1077153.216,3608.6809,SUB,97.5766,not reported,20,209.0,39.1486,-94.6405
1353.0,1096.8,6262165.0,0.6578108846541092,41.53446389496685,"['BIT', 'BIT']",2,2009,0,Big Sandy,6245122.039,40224.875,BIT,99.7278,not reported,21,127.0,38.1707,-82.6176
1355.0,739.4000000000001,2505295.0,0.40440166690948565,42.093048417636055,"['BIT', 'BIT', 'BIT']",3,2009,0,E W Brown,2498989.048,32250.247,BIT,96.806,not reported,21,167.0,37.7889,-84.7139
1356.0,2225.8999999999996,11345581.0,0.5872929623172229,30.001392695089407,"['BIT', 'BIT', 'BIT', 'BIT']",4,2009,0,Ghent,11325017.283,10871.087,BIT,99.8188,not reported,21,41.0,38.7497,-85.035
1357.0,188.6,625461.0,0.38271288441645446,51.98833510074223,"['BIT', 'BIT']",2,2009,0,Green River,622850.235,14723.934,BIT,99.5826,not reported,21,177.0,37.3636,-87.1214
1361.0,75.0,23701.0,0.0361,56.0,['BIT'],1,2009,0,Tyrone,24047.147,203.681,BIT,100.0,not reported,21,239.0,38.0478,-84.8483
1363.0,644.6,3248151.0,0.5805297077937571,42.74681973316774,"['BIT', 'BIT', 'BIT']",3,2009,['NG'],Cane Run,3233872.633,8792.2029,BIT,99.554,not reported,21,111.0,38.1828,-85.8894
